property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating
flat,satya element one,sector 49,0.94,14009.0,Carpet area: 671 (62.34 sq.m.),1,2,2,2.0,East,746.0,0,0,0,0,0,Moderately Old,Unfurnished,0,4.5
flat,shree vardhman flora,sector 90,0.7,5323.0,Super Built up area 1352(125.6 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.),2,2,3,9.0,East,1350.0,1,0,0,0,0,New Property,Unfurnished,38,4.8
flat,ild grand centra,sector 37,0.95,5220.0,Built Up area: 1820 (169.08 sq.m.),3,1,0,0.0,North-East,1820.0,0,0,0,0,0,Relatively New,Unfurnished,0,4.25
flat,umang monsoon breeze,sector 78,0.7,5719.0,Built Up area: 1224 (113.71 sq.m.),2,2,2,5.0,East,1224.0,0,0,0,0,0,Moderately Old,Unfurnished,0,4.25
flat,ansals highland park,dwarka expressway,1.2,6186.0,Built Up area: 1940 (180.23 sq.m.),3,3,3+,4.0,East,1940.0,0,1,0,0,0,Under Construction,Unfurnished,0,4.0
flat,signature global city 81,sector 81,0.8,14652.0,Carpet area: 546 (50.73 sq.m.),2,2,2,4.0,North,607.0,1,0,0,0,0,Relatively New,Unfurnished,15,4.12
flat,godrej habitat,sector 3,1.2,8310.0,Super Built up area 1444(134.15 sq.m.),2,2,3,0.0,North-East,1307.0,0,0,0,0,0,Relatively New,Unfurnished,28,4.38
flat,mvn athens,sohna road,0.25,5187.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,0.0,North,535.0,0,0,0,1,0,Relatively New,Unfurnished,57,4.3
flat,shree vardhman flora,sector 90,0.95,6333.0,Carpet area: 1500 (139.35 sq.m.),3,3,3,9.0,South-East,1667.0,0,1,0,0,0,Relatively New,Unfurnished,59,4.8
flat,ramsons kshitij,sector 95,0.45,4592.0,Super Built up area 980(91.04 sq.m.),2,2,1,2.0,East,887.0,1,0,0,0,0,Relatively New,Unfurnished,56,4.1
flat,oriental valley chs,sector 9,1.5,9091.0,Carpet area: 1650 (153.29 sq.m.),4,3,3+,8.0,East,1833.0,0,0,0,0,0,Relatively New,Furnished,3,4.0
flat,breez global heights,sohna road,0.26,6599.0,Carpet area: 394 (36.6 sq.m.),1,1,1,6.0,North-East,438.0,0,0,0,0,0,New Property,Unfurnished,15,5.0
flat,parsvnath green ville,sector 48,2.0,7764.0,Super Built up area 2125(197.42 sq.m.),3,3,0,15.0,North,1923.0,0,1,0,0,0,Relatively New,Unfurnished,46,4.2
flat,shri ram apartments,sector 4,0.46,5111.0,Carpet area: 900 (83.61 sq.m.),2,2,1,1.0,East,1000.0,0,0,0,0,0,Relatively New,Furnished,36,4.25
