property_type,sector,price,bedRoom,bathroom,balcony,facing,built_up_area,servant room,age_category,furnishing_type,combined_rating,luxury_category,floor_category
flat,sohna road,0.295,2,2,1,East,743.0,0,Relatively New,Unfurnished,3.6,Low,Mid Floor
flat,sohna road,0.38,2,2,2,East,750.0,0,Relatively New,Unfurnished,3.6,Low,Mid Floor
flat,sector 4,0.39,2,2,1,North-East,950.0,0,Relatively New,Unfurnished,4.0,Low,Low Floor
flat,sector 99,1.6,3,4,0,North-East,2400.0,0,Relatively New,Unfurnished,4.38,Low,High Floor
flat,sector 68,1.7,4,4,3,East,1809.0,0,New Property,Unfurnished,4.0,Low,Low Floor
flat,sector 54,3.25,3,3,3+,East,2558.0,0,Old Property,Furnished,3.8,Medium,Low Floor
flat,sector 111,0.6,2,2,3,East,789.0,0,New Property,Unfurnished,4.9,Low,Mid Floor
flat,sector 95,0.27,2,2,0,West,758.0,0,New Property,Unfurnished,4.25,Low,Low Floor
flat,sector 28,0.95,2,1,1,East,1188.0,0,Old Property,Unfurnished,3.88,Low,Low Floor
flat,sector 65,2.65,2,2,3,North-East,1297.0,0,New Property,Unfurnished,4.25,Low,Mid Floor
flat,sector 79,0.36,2,2,1,East,546.0,0,New Property,Unfurnished,3.75,Low,Mid Floor
flat,sector 37,0.55,2,2,3,North-East,543.0,0,New Property,Unfurnished,4.0,Low,Mid Floor
flat,sector 89,1.32,3,3,3,East,867.0,0,Relatively New,Unfurnished,4.0,Low,Low Floor
flat,sector 99,0.59,2,2,3,East,1133.0,0,Relatively New,Unfurnished,3.25,Medium,Low Floor
flat,sector 4,0.45,2,2,1,East,944.0,0,Relatively New,Unfurnished,4.25,Low,Low Floor
flat,sector 37,0.9,3,3,2,South-East,1185.0,0,Relatively New,Semi-Furnished,3.8,Low,High Floor
flat,sector 79,1.4,2,2,2,East,1556.0,1,Relatively New,Semi-Furnished,3.75,Medium,Mid Floor
flat,sohna road,0.95,2,2,3+,East,1129.0,0,New Property,Furnished,4.4,Low,Mid Floor
flat,sector 65,3.0,3,3,3,South-East,1654.0,0,Relatively New,Unfurnished,4.25,Low,High Floor
flat,sector 65,3.67,3,3,2,East,1846.0,1,Relatively New,Unfurnished,4.25,Low,High Floor
flat,sector 82,3.85,5,6,3+,East,5711.0,1,New Property,Unfurnished,5.0,Medium,Mid Floor
flat,sector 65,3.29,3,3,3,East,1654.0,0,New Property,Unfurnished,4.25,Low,High Floor
flat,sector 65,2.33,2,2,3,North-East,1141.0,0,Under Construction,Furnished,4.25,Low,High Floor
flat,sector 65,2.79,3,3,3,East,1654.0,0,New Property,Unfurnished,4.25,Low,High Floor
flat,sector 41,3.4,4,4,3,East,2900.0,0,Old Property,Unfurnished,5.0,Low,Low Floor
flat,sector 12,0.72,2,2,1,East,1100.0,0,Relatively New,Furnished,4.62,Low,Low Floor
flat,sector 104,0.4,2,2,1,North,514.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 95,0.56,2,2,2,North,1234.0,0,Relatively New,Furnished,4.0,Low,Mid Floor
flat,sector 71,1.1,3,3,3,South,1466.0,0,Relatively New,Unfurnished,3.4,Medium,High Floor
flat,sector 37,0.71,2,2,3,South-East,1100.0,0,New Property,Unfurnished,3.9,Low,Mid Floor
flat,sector 79,0.78,2,2,3+,North,1172.0,0,New Property,Unfurnished,3.75,Low,Low Floor
flat,sector 37,0.4,2,2,3,North-East,756.0,0,Under Construction,Unfurnished,4.25,Medium,Mid Floor
flat,sector 113,1.85,3,2,2,East,1429.0,0,New Property,Unfurnished,4.3,Low,Mid Floor
flat,sector 102,1.1,2,2,1,North-East,817.0,0,Relatively New,Unfurnished,4.4,Medium,Mid Floor
flat,sector 61,1.41,2,2,2,East,1150.0,0,Relatively New,Unfurnished,4.2,Medium,Low Floor
flat,sector 79,1.45,3,3,3,North,2161.0,0,Relatively New,Unfurnished,3.75,Low,Mid Floor
flat,sector 61,2.2,3,3,2,North-East,1778.0,0,Relatively New,Unfurnished,4.2,Low,Low Floor
flat,sector 33,1.1,2,2,3,East,1100.0,0,Moderately Old,Furnished,4.1,Low,Mid Floor
flat,sector 102,2.05,3,4,3+,South,2250.0,1,Relatively New,Unfurnished,4.4,Medium,High Floor
flat,sector 92,0.6,3,2,3,North-West,1333.0,0,Moderately Old,Furnished,4.0,Low,Mid Floor
flat,sector 89,0.8,2,3,3,North-East,1502.0,0,Under Construction,Unfurnished,4.0,Low,Mid Floor
flat,sector 84,0.41,2,2,2,East,565.0,0,New Property,Furnished,4.0,Low,Mid Floor
flat,sector 73,0.9,3,3,3,East,1622.0,1,Under Construction,Unfurnished,4.3,Low,Mid Floor
flat,sector 7,0.54,2,2,1,East,1000.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 36,0.82,3,2,2,East,850.0,0,New Property,Unfurnished,3.8,Low,Low Floor
flat,sector 71,1.0,3,3,3+,North,1344.0,0,Relatively New,Furnished,3.4,Low,Mid Floor
flat,sector 56,1.85,3,4,3,North-East,2278.0,1,Old Property,Unfurnished,4.5,Low,Mid Floor
flat,sector 83,1.42,3,3,2,West,1972.0,0,Relatively New,Furnished,4.75,Medium,Low Floor
flat,sector 37,0.55,2,2,3,North-East,610.0,0,New Property,Unfurnished,4.0,Low,Mid Floor
flat,sector 65,2.29,2,2,3,East,1592.0,0,Under Construction,Unfurnished,4.25,Low,Mid Floor
flat,sector 102,0.97,2,2,2,North-East,747.0,0,New Property,Unfurnished,4.4,Low,High Floor
flat,sector 53,8.25,3,4,3,North-East,2661.0,1,New Property,Semi-Furnished,4.5,Low,Mid Floor
flat,sector 3 phase 2,0.3,2,2,1,East,750.0,0,Relatively New,Unfurnished,3.88,Low,Low Floor
